active_minutes,assistant_turns,best_visible_minutes,best_visible_score,binary_kb,branches_per_100_loc,cache_read_tokens,cohort,comment_lines,comment_ratio,compactions,condition,corpus_hidden,elapsed_minutes,final_build_seconds,first_build_minutes,functions,fuzz_macro,fuzz_per_million_output_tokens,fuzz_source,hangs,idle_minutes,inline_tests,input_tokens,language,largest_file_loc,max_function_loc,mean_function_loc,median_test_compile_ms,notes_files,output_tokens,output_tokens_per_active_minute,p90_function_loc,panics_or_throws,provider_retries,replicate,rounds,run_id,self_test_loc,self_test_programs,self_test_scripts,source_files,source_loc,source_loc_per_1k_output_tokens,termination,text_chars,thinking_chars,thinking_share,todo_markers,tool_calls,unsafe_blocks,unwrap_or_expect
89.1,256,90.0,0.9429,606,15.0,19958398,v2,54,0.023,6,spec-brief,0.8981,90.0,0.51,45.0,69,1.0,3.578,post-hoc re-score,[],0.9,0,282096,rust,859,371,30.0,7.26,0,279477,3137,70,0,0,2,2,v2-spec-brief-r2,2477,142,41,6,2303,8.24,round_timeout,9755,630273,0.985,0,302,0,37
89.8,259,90.1,0.9429,650,11.8,20300771,v2,67,0.025,6,spec-brief,0.877,90.1,0.63,45.0,86,1.0,3.358,post-hoc re-score,[],0.3,0,264019,rust,1108,193,30.3,7.21,0,297752,3316,81,0,0,3,2,v2-spec-brief-r3,0,0,0,5,2684,9.01,round_timeout,15997,592921,0.974,0,273,0,35
87.3,237,90.1,0.9548,612,12.7,18207935,v2,62,0.028,6,spec-inline,0.8981,90.1,0.43,45.0,57,1.0,3.907,post-hoc re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': 'cd /workspace && python3 - <<\'EOF\'\np = \'src/codegen.rs\'\ns = open(p).read()\n\nold = ""        RExpr::Bin(_, l, r) => rdepth(l).max(rdepth(r) + 1),""\nnew = ""        RExpr::Bin(_, l, r) => rdepth(l) + rdepth(r),""\nassert old in s; s = s.replace(old, new)\n\nold = \'\'\'    for i in 0..f.nparams.min(6) {\n       '}]",2.8,0,198136,rust,641,240,33.9,7.26,0,255967,2932,80,0,0,1,2,v2-spec-inline-r1,0,0,0,6,2250,8.79,round_timeout,9695,501107,0.981,0,241,0,36
104.1,278,104.4,1.0,681,16.5,21194578,v2,131,0.043,6,spec-inline,0.9583,104.4,0.59,61.3,87,1.0,2.916,post-hoc re-score,[],0.3,4,255728,rust,1014,349,32.1,7.18,1,342956,3294,63,0,0,2,3,v2-spec-inline-r2,84,14,0,6,3052,8.9,visible_complete_after_review,16233,779765,0.98,0,281,0,39
88.4,264,90.1,1.0,643,13.5,19352402,v2,143,0.05,6,spec-inline,0.9583,90.1,0.62,45.0,99,1.0,3.502,post-hoc re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /tmp && python3 - <<\'EOF\'\nsrc = open(\'fuzz_loops.py\').read()\nsrc = src.replace(""""""def call_function(name, args, prog, env, steps):\n    fn = prog[\'funcs\'][name]\n    cenv = {}\n    for i, p in enumerate(fn[\'params\']):\n        cenv[p] = args[i]\n    cenv.update({k: v for k, v in env.items() if k.start'}]",1.7,5,232144,rust,1304,201,26.2,7.14,1,285529,3230,62,0,0,3,2,v2-spec-inline-r3,425,122,2,6,2858,10.01,round_timeout,10979,573758,0.981,0,287,0,52
48.7,209,90.4,0.8705,574,12.1,17240757,v3,66,0.029,2,baseline,0.8188,90.4,0.42,45.2,54,1.0,5.822,bridge re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': ""cd /workspace/tests-local && sed -i 's|// EXPECT_EXIT 0|// EXPECT_EXIT 42|' t01_basics.c && sed -i 's/if (hex != 39) return 9;/if (hex != 49) return 9;/' t03_arith.c && sed -i 's/if ((0 || 5) != 5) return 12;/if ((0 || 5) != 1) return 12;/' t04_cmp.c && sed -i 's/if (w != 2 || a != 1 || b != 2) retu""}]",41.7,0,117166,rust,1009,314,37.3,7.12,0,171761,3527,63,0,0,1,2,v3-baseline-r1,389,14,2,5,2280,13.27,round_timeout,4798,367187,0.987,0,216,0,27
89.7,340,90.1,0.9548,742,11.9,25707937,v3,137,0.04,6,baseline,0.9306,90.1,0.59,45.0,89,0.953,3.179,bridge re-score,[],0.4,0,268762,rust,1002,258,34.4,7.24,0,299741,3342,79,0,0,2,2,v3-baseline-r2,0,0,0,6,3389,11.31,round_timeout,12144,643920,0.981,0,350,0,41
55.3,160,90.1,0.8618,614,12.1,12621317,v3,72,0.033,4,baseline,0.8194,90.1,0.42,45.0,58,0.956,5.064,bridge re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /tmp/piccdv && cat > al.s <<\'EOF\'\n\t.globl _start\n\t.type _start, @function\n_start:\n\tmovq\t%rsp, %rax\n\tandl\t$15, %eax\n\tmovl\t$1, %edi\n\tmovq\t$0, %rsi\n\tmovl\t$1, %edx\n\tmovq\t$1, %r10\n\tsyscall\n\tmovq\t%rax, %rdi\n\tmovq\t$60, %rax\n\tsyscall\nEOF\nas al.s -o al.o && ld -o al.x al.o && ./al.x; echo ""rsp%16 at _star'}]",34.8,0,167267,rust,663,225,32.4,7.0,1,188789,3414,83,0,0,3,2,v3-baseline-r3,134,35,0,7,2164,11.46,round_timeout,8279,423067,0.981,0,169,0,32
119.5,502,120.0,0.8686,620,10.3,38959762,v3,75,0.033,10,tests-none,0.8458,120.0,0.39,45.0,72,1.0,2.618,bridge re-score,[],0.5,0,387494,rust,616,213,26.9,7.18,1,381928,3196,67,0,0,1,4,v3-tests-none-r1,17568,594,4,6,2250,5.89,wall_time_budget,29011,767870,0.964,0,501,0,31
45.9,30,91.7,0.7839,625,10.3,2241161,v3,45,0.017,0,tests-none,0.7492,91.7,0.55,45.9,80,0.68,6.643,bridge re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': 'cd /workspace && cargo build --release --offline 2>/dev/null; ./tests/run.sh 2>&1 | grep -v ""^ok"" ; echo; ./tests/run.sh 2>&1 | tail -2'}, {'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace && cargo build --release --offline 2>&1 | grep -E ""^error"" | head; echo ""BUILD: ${PIPESTATUS[0]}""; ./tests/run.sh 2>&1 | tail -25'}]",45.8,0,58757,rust,1067,294,28.6,7.11,0,102366,2230,65,0,0,2,2,v3-tests-none-r2,432,62,1,6,2584,25.24,round_timeout,909,224964,0.996,0,36,0,38
45.3,36,90.5,0.7271,606,15.6,3216230,v3,71,0.042,0,tests-none,0.6839,90.5,0.39,45.3,54,0.228,2.196,bridge re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': ""cd /workspace && cargo build --release --offline 2>&1 | grep -E '^error'; ./run_tests.sh 2>&1 | grep -E '^(FAIL|pass=)'""}, {'round': 'round-001', 'tool': 'bash', 'command': ""cd /workspace && ./run_tests.sh 2>&1 | grep -E '^(FAIL|pass=)'""}]",45.2,0,76510,rust,788,172,27.6,7.1,0,103830,2292,80,0,0,3,2,v3-tests-none-r3,411,55,1,6,1677,16.15,round_timeout,2015,242101,0.992,0,52,0,2
89.6,289,90.1,0.893,2,32.3,22713765,v4,35,0.026,6,js-untyped,0.8833,90.1,0.01,45.1,156,1.0,3.596,bridge re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': ""cd /tmp/piccdev && cat > fuzz1.js <<'EOF'\nconst { execFileSync } = require('child_process');\nconst fs = require('fs');\nlet seed = 12345;\nfunction rnd(n) { seed = (seed * 1103515245 + 12345) % 2147483648; return seed % n; }\nconst OPS = ['+','-','*','/','%','<','<=','>','>=','==','!=','&&','||'];\ncons""}]",0.5,6,254257,javascript,399,67,8.5,18.84,1,278120,3104,17,2,0,1,2,v4-js-untyped-r1,0,0,0,5,1345,4.84,round_timeout,17841,637711,0.973,0,369,0,0
45.7,123,90.2,0.8641,2,29.8,8988385,v4,44,0.039,2,js-untyped,0.8389,90.2,0.01,45.1,139,1.0,7.016,bridge re-score,"[{'round': 'round-000', 'tool': 'bash', 'command': ""cd /workspace/scratch\ncat > s12_flow.c <<'EOF'\nint main(void) {\n  int s = 0;\n  int i;\n  for (i = 0; i < 10; i++) {\n    if (i == 3) break;\n    if (i % 2) continue;\n    s += i;\n  }\n  if (s != 0 + 2 + 4 + 6) return 1;\n  s = 0;\n  for (i = 0; i < 10; i += 2) {\n    if (i > 4) continue;\n    s += i;\n  }\n  i""}, {'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace/scratch && ./run.sh s12_flow 0 && node -e ""\nconst {interpret}=require(\'./interp.js\');\nconst fs=require(\'fs\');\nconst w=interpret(fs.readFileSync(\'s12b_break.c\',\'utf8\'))&0xff;\nconsole.log(\'s12b want\',w);\n"" && ./run.sh s12b_break 0'}]",44.5,0,115920,javascript,523,49,7.9,18.21,0,142527,3119,15,4,0,2,2,v4-js-untyped-r2,29867,999,5,4,1141,8.01,round_timeout,6528,268582,0.976,0,127,0,19
86.3,170,90.1,0.8736,2,25.5,11874539,v4,72,0.063,4,js-untyped,0.8278,90.1,0.01,45.1,142,0.999,4.476,bridge re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /tmp/picc-t && python3 - <<\'PYEOF\'\ns = open(\'df3.py\').read()\nold = """"""        if o == \'+\': return wrap(a + b)\n        if o == \'-\': return wrap(a - b)\n        if o == \'*\': return wrap(a * b)\n        if b == 0: raise Crash(\'div0\')\n        q = abs(a) // abs(b)\n        if (a < 0) != (b < 0): q = -q\n '}]",3.8,0,199052,javascript,677,49,7.6,18.2,1,223195,2586,16,0,0,3,2,v4-js-untyped-r3,10,5,0,4,1146,5.13,round_timeout,10173,437579,0.977,0,171,0,0
89.4,253,90.7,0.8602,3,17.6,20983305,v4,12,0.006,6,ts-strict,0.8389,90.7,0.36,45.6,226,1.0,3.362,bridge re-score,[],1.3,0,252819,typescript,705,66,7.4,19.7,1,297427,3327,15,6,0,1,2,v4-ts-strict-r1,467,9,3,7,1964,6.6,round_timeout,13626,611687,0.978,0,261,0,28
89.5,258,90.2,0.8709,4,20.2,19152436,v4,3,0.002,6,ts-strict,0.8653,90.2,0.37,45.1,210,1.0,3.315,bridge re-score,[],0.7,0,215945,typescript,577,66,8.3,20.07,1,301658,3370,20,0,0,2,2,v4-ts-strict-r2,1718,110,5,10,2000,6.63,round_timeout,14060,698740,0.98,0,271,0,0
55.9,166,45.1,0.9333,4,22.4,13562845,v4,29,0.021,4,ts-strict,0.8986,90.2,0.34,45.1,180,0.806,4.339,bridge re-score,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace && tsc --strict --noEmitOnError --target es2022 --lib es2022 --module commonjs --esModuleInterop --skipLibCheck --types node --typeRoots /usr/local/lib/node_modules/@types --rootDir src --outDir dist src/picc.ts && echo BUILD_OK && cd /tmp/piccwork && for f in fe fb fc fd for2 multi co'}]",34.3,0,183355,typescript,678,41,6.8,18.58,1,185738,3323,13,4,0,3,2,v4-ts-strict-r3,0,0,0,7,1414,7.61,round_timeout,9361,417548,0.978,0,167,0,0
89.7,342,90.1,0.983,621,13.8,25785214,v5,149,0.07,6,baseline,0.9667,90.1,0.55,45.0,64,1.0,3.28,in-harness,[],0.4,7,229203,rust,1205,179,30.8,7.39,1,304924,3399,65,0,0,1,2,v5-baseline-r1,350,35,0,4,2123,6.96,round_timeout,11858,721019,0.984,0,351,0,39
90.0,336,90.1,0.9618,642,12.3,25902846,v5,128,0.041,6,baseline,0.9556,90.1,0.54,45.0,87,1.0,3.3,in-harness,[],0.1,0,227064,rust,1055,293,34.3,7.36,0,303024,3367,85,0,0,2,2,v5-baseline-r2,821,172,3,6,3148,10.39,round_timeout,10324,632536,0.984,0,347,0,44
45.3,131,90.1,0.7863,562,11.7,11033533,v5,41,0.019,2,baseline,0.7222,90.1,0.43,45.1,68,0.392,2.374,in-harness,"[{'round': 'round-001', 'tool': 'bash', 'command': ""cd /workspace/.dev && python3 - <<'PY'\ns = open('crtW.s').read()\n# make main spin ~200ms by counting\nold = '\tleaq main(%rip), %rdi\\n\tcall main'\n# we want a spinning main: replace dummy with spinner\nopen('spin.s','w').write('''  .text\n  .globl main\nmain:\n\txorl %eax, %eax\nspin:\n\tdecl %eax\n\tjne spin\n\td""}]",44.8,0,141318,rust,1018,209,29.1,7.12,0,165141,3645,59,0,0,3,2,v5-baseline-r3,307,11,6,5,2124,12.86,round_timeout,4698,302367,0.985,0,138,0,3
45.9,32,91.8,0.5898,557,11.1,1570999,v5,50,0.024,0,baseline,0.5847,91.8,0.36,45.9,69,0.019,0.311,in-harness,"[{'round': 'round-000', 'tool': 'bash', 'command': 'cd /workspace && cargo build --release --offline 2>&1 | grep -E ""^error"" | head; cd /tmp/picctest && for t in t1 t2 t3 t4; do\n  /workspace/target/release/picc $t.c -o $t.s && as -o $t.o $t.s 2>&1 && ld -o $t $t.o && ./$t; echo ""$t exit=$?""\ndone'}, {'round': 'round-001', 'tool': 'bash', 'command': ""mkdir -p /tmp/picctest && cd /tmp/picctest\ncat > t1.c <<'EOF'\nint main(void) {\n    return 42;\n}\nEOF\ncat > t2.c <<'EOF'\nint main(void) {\n    int x = 3;\n    int y = -x + 7 * 2 % 5;\n    if (x <= 3 && !(x == 4)) {\n        y = y + 100;\n    }\n    while (x < 10) {\n        x = x + 1;\n    }\n    return y + x;""}]",45.9,0,39370,rust,636,168,26.3,7.3,0,61032,1330,59,0,0,4,2,v5-baseline-r4,0,0,0,6,2118,34.7,round_timeout,1322,100865,0.987,0,39,0,38
55.1,141,90.1,0.9251,610,11.4,11879214,v5,79,0.033,4,tests-none,0.9038,90.1,0.42,45.1,78,0.912,4.771,in-harness,"[{'round': 'round-001', 'tool': 'bash', 'command': 'cd /workspace && python3 - <<\'PYEOF\'\nsrc = open(\'tests/cases.py\').read()\nsrc = src.replace(\'s = s + j; } i = i + 1; } return s; }"", ""ok"", 6),\',\n                  \'s = s + j; } i = i + 1; } return s; }"", ""ok"", 20),\')\nsrc = src.replace(\'return (a + b) * (a - b) / (a / b + 1) + a % b - (1 << (b - 1)); '}]",35.0,2,159668,rust,685,134,29.1,7.27,1,191141,3469,79,0,0,1,2,v5-tests-none-r1,254,0,2,6,2413,12.62,round_timeout,7221,310311,0.977,0,162,0,35
59.8,158,90.1,0.9445,597,12.1,12718353,v5,62,0.026,4,tests-none,0.9736,90.1,0.48,45.1,66,1.0,4.775,in-harness,"[{'round': 'round-001', 'tool': 'bash', 'command': ""cd /workspace/tests && cat > e50_funshadow.c <<'EOF'\nint f(void) { return 3; }\nint main(void) {\n    int f = 5;\n    return f;\n}\nEOF\ncat > e51_forredecl.c <<'EOF'\nint main(void) {\n    int s = 0;\n    for (int i = 0; i < 3; i = i + 1) {\n        int i = 1;\n        s = s + i;\n    }\n    return s;\n}\nEOF\ncat""}]",30.3,0,178232,rust,942,239,33.1,7.16,1,209410,3502,75,0,0,2,2,v5-tests-none-r2,756,107,2,7,2413,11.52,round_timeout,7862,401406,0.981,0,176,0,33
46.0,72,91.3,0.5152,583,13.5,4981068,v5,55,0.029,2,tests-none,0.4764,91.3,0.46,45.6,77,0.0,0.0,in-harness,"[{'round': 'round-000', 'tool': 'bash', 'command': ""cat > /tmp/trace.py <<'EOF'\nimport ctypes, os, struct, sys\n\nlibc = ctypes.CDLL(None, use_errno=True)\nPTRACE_TRACEME=0; PTRACE_PEEKTEXT=1; PTRACE_PEEKDATA=2; PTRACE_CONT=7; PTRACE_GETREGS=12; PTRACE_SYSCALL=24\npid = os.fork()\nif pid == 0:\n    libc.ptrace(PTRACE_TRACEME, 0, 0, 0)\n    os.execv(sys.argv""}, {'round': 'round-001', 'tool': 'bash', 'command': 'mkdir -p /tmp/t && cat > /tmp/t/m.c <<\'EOF\'\nint main(void) { return 42; }\nEOF\ncat > /tmp/dbg.sh <<\'EOF\'\n#!/bin/bash\ncd /tmp/t\n/workspace/target/release/picc m.c -o m.s || exit 1\nas -o m.o m.s || exit 1\ngcc -o prog2 m.o 2>/dev/null || exit 1\n./prog2; echo ""rc=$?""\nEOF\nchmod +x /tmp/dbg.sh && /tmp/dbg.'}]",45.3,0,116807,rust,751,234,22.8,,0,93848,2040,53,0,0,3,2,v5-tests-none-r3,429,61,2,5,1929,20.55,round_timeout,2725,190739,0.986,0,75,0,38
89.5,307,90.1,0.9322,589,11.6,24288429,v5,99,0.041,6,tests-none,0.9181,90.1,0.4,45.1,57,1.0,3.336,in-harness,[],0.6,0,251385,rust,643,268,38.2,7.43,1,299760,3349,87,0,0,4,2,v5-tests-none-r4,1261,145,1,6,2391,7.98,round_timeout,11302,621115,0.982,0,315,0,27
